acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity
0.407,https://api.spotify.com/v1/audio-analysis/6r027Faonff84hxFMjMbIH,0.705,363973,0.847,6r027Faonff84hxFMjMbIH,0,7,0.826,-2.651,1,0.321,148.008,4,https://api.spotify.com/v1/tracks/6r027Faonff84hxFMjMbIH,audio_features,spotify:track:6r027Faonff84hxFMjMbIH,0.639,84
0.835,https://api.spotify.com/v1/audio-analysis/3hB5DgAiMAQ4DzYbsMq1IT,0.609,233720,0.378,3hB5DgAiMAQ4DzYbsMq1IT,0,4,0.28,-9.828,1,0.438,100.418,4,https://api.spotify.com/v1/tracks/3hB5DgAiMAQ4DzYbsMq1IT,audio_features,spotify:track:3hB5DgAiMAQ4DzYbsMq1IT,0.529,86
0.178,https://api.spotify.com/v1/audio-analysis/6vWk151OrbHfKe4D6Z6tdV,0.376,242012,0.723,6vWk151OrbHfKe4D6Z6tdV,0,7,0.0815,-2.951,1,0.046,84.146,4,https://api.spotify.com/v1/tracks/6vWk151OrbHfKe4D6Z6tdV,audio_features,spotify:track:6vWk151OrbHfKe4D6Z6tdV,0.177,51
0.162,https://api.spotify.com/v1/audio-analysis/0TLHUakjgTs8KaSoCm0e8v,0.957,226235,0.427,0TLHUakjgTs8KaSoCm0e8v,0.00689,11,0.0659,-7.97,0,0.0539,108.973,4,https://api.spotify.com/v1/tracks/0TLHUakjgTs8KaSoCm0e8v,audio_features,spotify:track:0TLHUakjgTs8KaSoCm0e8v,0.961,68
0.554,https://api.spotify.com/v1/audio-analysis/0lLeGCsQlAbEjQBPQQxQ1b,0.371,148253,0.724,0lLeGCsQlAbEjQBPQQxQ1b,0,2,0.299,-9.792,1,0.0562,170.377,4,https://api.spotify.com/v1/tracks/0lLeGCsQlAbEjQBPQQxQ1b,audio_features,spotify:track:0lLeGCsQlAbEjQBPQQxQ1b,0.921,59
0.256,https://api.spotify.com/v1/audio-analysis/7vGuf3Y35N4wmASOKLUVVU,0.52,180823,0.761,7vGuf3Y35N4wmASOKLUVVU,0.00000496,4,0.17,-3.093,1,0.0853,141.971,4,https://api.spotify.com/v1/tracks/7vGuf3Y35N4wmASOKLUVVU,audio_features,spotify:track:7vGuf3Y35N4wmASOKLUVVU,0.266,58
0.656,https://api.spotify.com/v1/audio-analysis/2U6hcDLZHYRSd9Up0mMe9W,0.714,205130,0.555,2U6hcDLZHYRSd9Up0mMe9W,0.000289,6,0.11,-7.55,0,0.0459,102.971,4,https://api.spotify.com/v1/tracks/2U6hcDLZHYRSd9Up0mMe9W,audio_features,spotify:track:2U6hcDLZHYRSd9Up0mMe9W,0.338,53
0.00252,https://api.spotify.com/v1/audio-analysis/25oOaleife6E2MIKmFkPvg,0.842,215307,0.597,25oOaleife6E2MIKmFkPvg,0,2,0.124,-6.336,1,0.0627,145.992,4,https://api.spotify.com/v1/tracks/25oOaleife6E2MIKmFkPvg,audio_features,spotify:track:25oOaleife6E2MIKmFkPvg,0.286,60
0.229,https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb,0.694,228827,0.815,5CtI0qwDJkDQGwXD1H1cLb,0,2,0.0924,-4.328,1,0.12,88.931,4,https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb,audio_features,spotify:track:5CtI0qwDJkDQGwXD1H1cLb,0.826,97
0.16,https://api.spotify.com/v1/audio-analysis/1yHA33jt0HwbcH3GdOcuiQ,0.388,235773,0.529,1yHA33jt0HwbcH3GdOcuiQ,0.0681,7,0.108,-10.533,1,0.0436,150.721,4,https://api.spotify.com/v1/tracks/1yHA33jt0HwbcH3GdOcuiQ,audio_features,spotify:track:1yHA33jt0HwbcH3GdOcuiQ,0.304,52
