acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity,artist,Genre
0.0896,https://api.spotify.com/v1/audio-analysis/7rdK9NSJIRBZAiXC0vuBS9,0.716,185707,0.718,7rdK9NSJIRBZAiXC0vuBS9,0,0,0.473,-5.355,1,0.0293,100.934,4,https://api.spotify.com/v1/tracks/7rdK9NSJIRBZAiXC0vuBS9,audio_features,spotify:track:7rdK9NSJIRBZAiXC0vuBS9,0.537,81,Bebe Rexha,Country
0.047,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,0.643,163870,0.783,7iDa6hUg2VgEL1o1HjmfBn,0,10,0.083,-6.458,1,0.0856,154.084,4,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,audio_features,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,0.566,67,Dustin Lynch,Country
0.0677,https://api.spotify.com/v1/audio-analysis/5Feu0AyHLrW0mCRAyUnZ6W,0.587,180252,0.628,5Feu0AyHLrW0mCRAyUnZ6W,0.00000188,1,0.122,-5.703,1,0.0431,92.003,4,https://api.spotify.com/v1/tracks/5Feu0AyHLrW0mCRAyUnZ6W,audio_features,spotify:track:5Feu0AyHLrW0mCRAyUnZ6W,0.65,78,Chris Young,Country
0.01,https://api.spotify.com/v1/audio-analysis/3qP5nPy0qh7iodfLMBsfbr,0.553,154320,0.743,3qP5nPy0qh7iodfLMBsfbr,0,2,0.0812,-5.483,1,0.0368,149.962,4,https://api.spotify.com/v1/tracks/3qP5nPy0qh7iodfLMBsfbr,audio_features,spotify:track:3qP5nPy0qh7iodfLMBsfbr,0.574,75,Kip Moore,Country
0.0207,https://api.spotify.com/v1/audio-analysis/5zwKfokZAwe4kz68lEHtUf,0.434,195307,0.921,5zwKfokZAwe4kz68lEHtUf,0.00209,10,0.116,-2.248,0,0.0688,171.945,4,https://api.spotify.com/v1/tracks/5zwKfokZAwe4kz68lEHtUf,audio_features,spotify:track:5zwKfokZAwe4kz68lEHtUf,0.426,74,Jason Aldean,Country
0.122,https://api.spotify.com/v1/audio-analysis/3I7krC8kr0gFR7P6vInR1I,0.549,234306,0.751,3I7krC8kr0gFR7P6vInR1I,0,9,0.208,-5.423,1,0.0299,89.953,4,https://api.spotify.com/v1/tracks/3I7krC8kr0gFR7P6vInR1I,audio_features,spotify:track:3I7krC8kr0gFR7P6vInR1I,0.505,80,Billy Currington,Country
0.0253,https://api.spotify.com/v1/audio-analysis/1ZzUE9vPvsVMCNu2e7OepO,0.611,222893,0.721,1ZzUE9vPvsVMCNu2e7OepO,0,6,0.126,-6.133,1,0.0404,116.929,4,https://api.spotify.com/v1/tracks/1ZzUE9vPvsVMCNu2e7OepO,audio_features,spotify:track:1ZzUE9vPvsVMCNu2e7OepO,0.211,74,Jon Langston,Country
0.294,https://api.spotify.com/v1/audio-analysis/3Ishl2jSDXSmdGwrBsMjfq,0.52,216529,0.791,3Ishl2jSDXSmdGwrBsMjfq,0,6,0.116,-3.499,1,0.0378,90.095,4,https://api.spotify.com/v1/tracks/3Ishl2jSDXSmdGwrBsMjfq,audio_features,spotify:track:3Ishl2jSDXSmdGwrBsMjfq,0.301,74,Hunter Hayes,Country
0.0209,https://api.spotify.com/v1/audio-analysis/6Axy0fL3FBtwx2rwl4soq9,0.458,211240,0.894,6Axy0fL3FBtwx2rwl4soq9,0,9,0.221,-4.903,1,0.0398,160.125,4,https://api.spotify.com/v1/tracks/6Axy0fL3FBtwx2rwl4soq9,audio_features,spotify:track:6Axy0fL3FBtwx2rwl4soq9,0.709,78,Russell Dickerson,Country
0.0527,https://api.spotify.com/v1/audio-analysis/4oeGQb7zAVNRkpjjoNHK5K,0.442,173187,0.784,4oeGQb7zAVNRkpjjoNHK5K,0,2,0.0597,-4.001,1,0.0344,170.139,4,https://api.spotify.com/v1/tracks/4oeGQb7zAVNRkpjjoNHK5K,audio_features,spotify:track:4oeGQb7zAVNRkpjjoNHK5K,0.554,74,Jackie Lee,Country
