acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity
0.256,https://api.spotify.com/v1/audio-analysis/7vGuf3Y35N4wmASOKLUVVU,0.52,180823,0.761,7vGuf3Y35N4wmASOKLUVVU,0.00000496,4,0.17,-3.093,1,0.0853,141.971,4,https://api.spotify.com/v1/tracks/7vGuf3Y35N4wmASOKLUVVU,audio_features,spotify:track:7vGuf3Y35N4wmASOKLUVVU,0.266,97
0.199,https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY,0.798,202547,0.539,5Z3GHaZ6ec9bsiI5BenrbY,0.0000166,1,0.165,-6.351,1,0.0421,136.949,4,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY,audio_features,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,0.41,96
0.33,https://api.spotify.com/v1/audio-analysis/152lZdxL1OR0ZMW6KquMif,0.736,21980,0.449,152lZdxL1OR0ZMW6KquMif,0.000162,1,0.0898,-11.462,0,0.425,80.126,4,https://api.spotify.com/v1/tracks/152lZdxL1OR0ZMW6KquMif,audio_features,spotify:track:152lZdxL1OR0ZMW6KquMif,0.322,92
0.189,https://api.spotify.com/v1/audio-analysis/248OFOZef6ShXv6DGgbnxU,0.739,206533,0.448,248OFOZef6ShXv6DGgbnxU,0,10,0.118,-10.28,0,0.138,81.044,4,https://api.spotify.com/v1/tracks/248OFOZef6ShXv6DGgbnxU,audio_features,spotify:track:248OFOZef6ShXv6DGgbnxU,0.55,84
0.225,https://api.spotify.com/v1/audio-analysis/5bgwqaRSS3M8WHWruHgSL5,0.83,228600,0.585,5bgwqaRSS3M8WHWruHgSL5,0.00209,1,0.0576,-5.802,1,0.0366,105.03,4,https://api.spotify.com/v1/tracks/5bgwqaRSS3M8WHWruHgSL5,audio_features,spotify:track:5bgwqaRSS3M8WHWruHgSL5,0.639,84
0.412,https://api.spotify.com/v1/audio-analysis/52Qu0no0NBho3zyRmjlsHn,0.834,244747,0.472,52Qu0no0NBho3zyRmjlsHn,0.0000676,5,0.0873,-7.777,0,0.0873,107.014,4,https://api.spotify.com/v1/tracks/52Qu0no0NBho3zyRmjlsHn,audio_features,spotify:track:52Qu0no0NBho3zyRmjlsHn,0.517,81
0.0683,https://api.spotify.com/v1/audio-analysis/312WNtMs3F28cUukaPY9bo,0.658,250747,0.623,312WNtMs3F28cUukaPY9bo,0,0,0.321,-6.934,1,0.0398,100.436,4,https://api.spotify.com/v1/tracks/312WNtMs3F28cUukaPY9bo,audio_features,spotify:track:312WNtMs3F28cUukaPY9bo,0.209,81
0.935,https://api.spotify.com/v1/audio-analysis/39KG4kom3enSx4GTThuDGt,0.441,199120,0.219,39KG4kom3enSx4GTThuDGt,0,8,0.115,-14.586,1,0.0419,94.021,4,https://api.spotify.com/v1/tracks/39KG4kom3enSx4GTThuDGt,audio_features,spotify:track:39KG4kom3enSx4GTThuDGt,0.247,80
0.572,https://api.spotify.com/v1/audio-analysis/6AIccJIWHGK26xi34FAkwl,0.78,204547,0.371,6AIccJIWHGK26xi34FAkwl,0,9,0.247,-6.705,1,0.0559,108.003,4,https://api.spotify.com/v1/tracks/6AIccJIWHGK26xi34FAkwl,audio_features,spotify:track:6AIccJIWHGK26xi34FAkwl,0.42,78
0.893,https://api.spotify.com/v1/audio-analysis/1Ob94QesoxHSBrypyBbdfd,0.767,207107,0.512,1Ob94QesoxHSBrypyBbdfd,0.000223,6,0.103,-6.777,1,0.0591,123.921,4,https://api.spotify.com/v1/tracks/1Ob94QesoxHSBrypyBbdfd,audio_features,spotify:track:1Ob94QesoxHSBrypyBbdfd,0.502,77
