acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity,artist,Genre
0.0122,https://api.spotify.com/v1/audio-analysis/5y1jgbDNgTfxoWXv3FhH2Q,0.474,241533,0.351,5y1jgbDNgTfxoWXv3FhH2Q,0.00000735,7,0.112,-7.533,1,0.0292,139.827,3,https://api.spotify.com/v1/tracks/5y1jgbDNgTfxoWXv3FhH2Q,audio_features,spotify:track:5y1jgbDNgTfxoWXv3FhH2Q,0.108,67,Beck,Rock
0.000123,https://api.spotify.com/v1/audio-analysis/3mkmTUcZtQxuKpyM44lGj6,0.264,236557,0.886,3mkmTUcZtQxuKpyM44lGj6,0.000211,0,0.0982,-4.342,1,0.0662,89.979,4,https://api.spotify.com/v1/tracks/3mkmTUcZtQxuKpyM44lGj6,audio_features,spotify:track:3mkmTUcZtQxuKpyM44lGj6,0.522,68,U2,Rock
0.0406,https://api.spotify.com/v1/audio-analysis/7FESgYLcOufHqKlwrvJN60,0.78,163251,0.798,7FESgYLcOufHqKlwrvJN60,0.0000631,1,0.0733,-5.151,0,0.0613,78.969,4,https://api.spotify.com/v1/tracks/7FESgYLcOufHqKlwrvJN60,audio_features,spotify:track:7FESgYLcOufHqKlwrvJN60,0.771,64,Gary Clark Jr.,Rock
0.0113,https://api.spotify.com/v1/audio-analysis/6PtIXICwmoxCgLjw2zApDs,0.371,220538,0.921,6PtIXICwmoxCgLjw2zApDs,0.000027,9,0.43,-5.533,1,0.0784,109.675,4,https://api.spotify.com/v1/tracks/6PtIXICwmoxCgLjw2zApDs,audio_features,spotify:track:6PtIXICwmoxCgLjw2zApDs,0.495,68,Highly Suspect,Rock
0.018,https://api.spotify.com/v1/audio-analysis/5jddjli3YTIxueb3xFdLaA,0.608,152468,0.6,5jddjli3YTIxueb3xFdLaA,0,11,0.273,-5.459,0,0.0266,87.465,4,https://api.spotify.com/v1/tracks/5jddjli3YTIxueb3xFdLaA,audio_features,spotify:track:5jddjli3YTIxueb3xFdLaA,0.535,75,Thirty Seconds To Mars,Rock
0.00233,https://api.spotify.com/v1/audio-analysis/5WrMdl6kxTonPziQmCeF7b,0.655,225493,0.785,5WrMdl6kxTonPziQmCeF7b,0,2,0.309,-6.596,1,0.0362,117.01,4,https://api.spotify.com/v1/tracks/5WrMdl6kxTonPziQmCeF7b,audio_features,spotify:track:5WrMdl6kxTonPziQmCeF7b,0.832,58,Welshly Arms,Rock
0.00556,https://api.spotify.com/v1/audio-analysis/6Z884oSfliz0mKqTJTXrwb,0.653,190448,0.941,6Z884oSfliz0mKqTJTXrwb,0.0788,1,0.277,-2.709,0,0.0583,110.019,4,https://api.spotify.com/v1/tracks/6Z884oSfliz0mKqTJTXrwb,audio_features,spotify:track:6Z884oSfliz0mKqTJTXrwb,0.688,73,Queens of the Stone Age,Rock
0.00257,https://api.spotify.com/v1/audio-analysis/45HAjqRWiNv6mMPw4NvZrU,0.447,193714,0.788,45HAjqRWiNv6mMPw4NvZrU,0.0000168,2,0.0744,-4.994,0,0.0464,80.04,4,https://api.spotify.com/v1/tracks/45HAjqRWiNv6mMPw4NvZrU,audio_features,spotify:track:45HAjqRWiNv6mMPw4NvZrU,0.505,71,Royal Blood,Rock
0.0557,https://api.spotify.com/v1/audio-analysis/3tA2Khh4RpQThUoX22PQAG,0.534,230697,0.615,3tA2Khh4RpQThUoX22PQAG,0.00000216,11,0.0992,-5.411,0,0.0389,141.915,4,https://api.spotify.com/v1/tracks/3tA2Khh4RpQThUoX22PQAG,audio_features,spotify:track:3tA2Khh4RpQThUoX22PQAG,0.403,68,Kaleo,Rock
0.000119,https://api.spotify.com/v1/audio-analysis/5UMD1Iz7yyVK8Q5FLsVt3q,0.492,188228,0.761,5UMD1Iz7yyVK8Q5FLsVt3q,0,8,0.0934,-7.041,1,0.0363,139.98,4,https://api.spotify.com/v1/tracks/5UMD1Iz7yyVK8Q5FLsVt3q,audio_features,spotify:track:5UMD1Iz7yyVK8Q5FLsVt3q,0.395,72,Nothing But Thieves,Rock
